Periodo,Total
2015M10,6432341
2015M11,3754802
2015M12,3512914
2016M01,3526537
2016M02,3678726
2016M03,4627206
2016M04,6086327
2016M05,7111154
2016M06,7552758
2016M07,9545792
2016M08,10027471
2016M09,7932607
2016M10,7137723
2016M11,4098262
2016M12,3990446
2017M01,3905736
2017M02,4119137
2017M03,4913943
2017M04,7081594
2017M05,8002648
2017M06,8431975
2017M07,10493438
2017M08,10397745
2017M09,8877270
2017M10,7269931
2017M11,4392575
2017M12,3982530
2018M01,4106601
2018M02,4218047
2018M03,5393186
2018M04,6780378
2018M05,8086048
2018M06,8554306
2018M07,10020246
2018M08,10175761
2018M09,8932308
2018M10,7649860
2018M11,4536873
2018M12,4354798
2019M01,4195641
2019M02,4380504
2019M03,5649577
2019M04,7146033
2019M05,7919204
2019M06,8833893
2019M07,9873270
2019M08,10118366
2019M09,8845152
2019M10,7587749
2019M11,4655021
2019M12,4304741
2020M01,4133024
2020M02,4427344
2020M03,1997262
2020M06,204272
2020M07,2464779
2020M08,2440978
2020M09,1138868
2020M10,1020773
2020M11,456814
2020M12,648989
2021M01,437973
2021M02,284974
2021M03,491427
2021M04,629206
2021M05,1363164
2021M06,2216356
2021M07,4398992
2021M08,5196520
2021M09,4703933
2021M10,5148820
2021M11,3361913
2021M12,2947525
2022M01,2501443
2022M02,3179288
2022M03,4039532
2022M04,6106316
2022M05,6988353
2022M06,7498156
2022M07,9091390
2022M08,8848665
2022M09,7767211
2022M10,7176984
2022M11,4334651
2022M12,4127293
2023M01,4134995
2023M02,4320665
2023M03,5247341
2023M04,7228094
2023M05,8300384
2023M06,8307460
2023M07,10116916
2023M08,10186163
2023M09,8795425
2023M10,8187022
2023M11,5135498
2023M12,5209085
2024M01,4775549
2024M02,5013497
2024M03,6350471
2024M04,7783750
2024M05,9255985
2024M06,9299574
2024M07,10852347
2024M08,10929584
2024M09,9602015
2024M10,8961932
2024M11,5670219
2024M12,5264375
2025M01,5065094
2025M02,5397279
2025M03,6593604
2025M04,8568142
2025M05,9395612
2025M06,9476248
2025M07,11023252
2025M08,11251632
2025M09,9681517
2025M10,9244934
